,index,start,arrival,KPrange,Kp,K,InRangeGlobal,InRangeLocal,timingKp,timingK,Onsetdst
92,CME-20240719T222400,2024-07-19T22:24:00,2024-07-23T00:06:00,3.0 - 4.33333,1.66666667,1,no,no,M,M,FA
93,CME-20240721T164800,2024-07-21T16:48:00,2024-07-24T07:38:00,4.16667 - 6.16667,1.66666667,3,no,no,FA,FA,FA
94,CME-20240723T042400,2024-07-23T04:24:00,2024-07-26T20:00:00,2.0 - 4.0,2.66666667,2,yes,yes,H,H,H
95,CME-20240723T144800,2024-07-23T14:48:00,2024-07-26T08:49:00,3.75 - 5.5,4,3,yes,no,H,M,H
96,CME-20240724T173600,2024-07-24T17:36:00,2024-07-28T05:00:00,3.0 - 4.0,1,2,no,no,M,M,FA
97,CME-20240725T002400,2024-07-25T00:24:00,2024-07-27T05:00:00,4.0 - 6.0,2.33333333,2,no,no,M,M,M
98,CME-20240726T152300,2024-07-26T15:23:00,2024-07-29T21:35:00,4.25 - 6.5,1.66666667,1,no,no,M,M,M
99,CME-20240726T204800,2024-07-26T20:48:00,2024-07-29T16:06:00,5.0 - 7.25,1.33333333,1,no,no,M,FA,M
100,CME-20240726T212400,2024-07-26T21:24:00,2024-07-29T17:54:00,4.5 - 6.75,0.66666667,1,no,no,M,M,M
101,CME-20240727T063600,2024-07-27T06:36:00,2024-07-30T00:42:00,4.57143 - 6.71429,2.33333333,2,no,no,M,FA,H
102,CME-20240727T111200,2024-07-27T11:12:00,2024-07-31T04:00:00,2.0 - 4.0,1.66666667,2,no,yes,M,H,M
103,CME-20240727T213600,2024-07-27T21:36:00,2024-07-31T20:00:00,2.0 - 3.0,4.66666667,4,no,no,H,H,H
104,CME-20240728T022400,2024-07-28T02:24:00,2024-07-30T22:56:00,4.44444 - 6.77778,2,2,no,no,M,FA,H
105,CME-20240728T121200,2024-07-28T12:12:00,2024-07-31T05:15:00,5.0 - 7.0,1,1,no,no,M,FA,M
106,CME-20240728T143600,2024-07-28T14:36:00,2024-07-31T02:01:00,4.5 - 7.0,1.66666667,2,no,no,M,M,H
107,CME-20240729T020000,2024-07-29T02:00:00,2024-08-01T18:00:00,2.0 - 4.0,2.33333333,2,yes,yes,H,H,H
108,CME-20240729T021200,2024-07-29T02:12:00,2024-08-01T18:00:00,2.0 - 4.0,2.33333333,2,yes,yes,H,H,H
109,CME-20240729T132500,2024-07-29T13:25:00,2024-08-01T11:14:00,3.625 - 6.0,2.33333333,3,no,no,M,M,H
110,CME-20240731T183600,2024-07-31T18:36:00,2024-08-03T20:36:00,3.0 - 5.0,2,2,no,no,M,M,H
111,CME-20240801T072400,2024-08-01T07:24:00,2024-08-03T19:07:00,4.0 - 6.0,2.33333333,2,no,no,M,M,H
112,CME-20240805T055300,2024-08-05T05:53:00,2024-08-07T20:00:00,3.0 - 5.0,0.66666667,1,no,no,M,M,FA
113,CME-20240805T160000,2024-08-05T16:00:00,2024-08-08T16:00:00,3.0 - 5.0,0.66666667,2,no,no,M,M,FA
114,CME-20240807T032400,2024-08-07T03:24:00,2024-08-09T22:36:00,4.5 - 6.5,1.66666667,2,no,no,FA,FA,FA
115,CME-20240807T142400,2024-08-07T14:24:00,2024-08-10T00:56:00,4.77778 - 6.66667,1.66666667,2,no,no,FA,FA,FA
116,CME-20240807T193600,2024-08-07T19:36:00,2024-08-10T18:39:00,4.0 - 5.66667,2.66666667,3,no,no,M,M,FA
117,CME-20240808T053000,2024-08-08T05:30:00,2024-08-11T19:35:00,4.0 - 6.0,3.66666667,3,no,no,H,M,H
118,CME-20240808T200000,2024-08-08T20:00:00,2024-08-11T16:43:00,3.75 - 6.0,4.33333333,5,yes,yes,H,H,H
119,CME-20240809T082400,2024-08-09T08:24:00,2024-08-12T16:00:00,3.0 - 5.0,8,5,no,no,H,H,H
120,CME-20240809T125300,2024-08-09T12:53:00,2024-08-12T14:30:00,2.5 - 4.0,8,5,no,no,H,H,H
121,CME-20240809T214800,2024-08-09T21:48:00,2024-08-12T22:56:00,3.71429 - 5.42857,6,4,no,no,H,H,H
122,CME-20240810T031200,2024-08-10T03:12:00,2024-08-13T00:52:00,4.0 - 6.0,6,4,yes,yes,H,H,H
123,CME-20240810T032400,2024-08-10T03:24:00,2024-08-13T02:46:00,4.25 - 6.25,4.33333333,4,yes,no,H,H,H
124,CME-20240814T082300,2024-08-14T08:23:00,2024-08-17T13:32:00,3.83333 - 6.16667,3.33333333,4,no,yes,M,H,M
125,CME-20240823T020000,2024-08-23T02:00:00,2024-08-26T20:33:00,2.75 - 4.75,0.33333333,1,no,no,M,M,M
126,CME-20240903T201200,2024-09-03T20:12:00,2024-09-06T20:06:00,3.0 - 4.5,1,1,no,no,M,M,FA
127,CME-20240907T073600,2024-09-07T07:36:00,2024-09-11T00:00:00,2.0 - 4.0,1.33333333,2,no,yes,M,H,FA
128,CME-20240907T080000,2024-09-07T08:00:00,2024-09-12T06:00:00,2.0 - 4.0,4.33333333,4,no,no,H,H,H
129,CME-20240908T013600,2024-09-08T01:36:00,2024-09-11T01:29:00,3.4 - 6.0,1.33333333,2,no,no,M,M,FA
130,CME-20240909T012500,2024-09-09T01:25:00,2024-09-11T15:00:00,2.0 - 4.0,3.33333333,3,yes,yes,H,H,M
131,CME-20240910T002300,2024-09-10T00:23:00,2024-09-12T19:27:00,4.42857 - 6.71429,6,5,yes,yes,H,H,H
132,CME-20240911T022300,2024-09-11T02:23:00,2024-09-13T21:04:00,4.33333 - 6.33333,4,3,no,no,H,M,H
133,CME-20240913T020000,2024-09-13T02:00:00,2024-09-15T08:30:00,2.0 - 4.0,4,3,yes,yes,H,H,FA
134,CME-20240913T101200,2024-09-13T10:12:00,2024-09-16T04:58:00,4.0 - 6.0,4,3,yes,no,H,FA,FA
135,CME-20240914T153600,2024-09-14T15:36:00,2024-09-16T11:55:00,5.57143 - 8.0,3.66666667,3,no,no,M,FA,M
136,CME-20240922T213600,2024-09-22T21:36:00,2024-09-25T09:04:00,4.25 - 6.125,4,3,no,no,H,M,H
137,CME-20240923T204800,2024-09-23T20:48:00,2024-09-28T00:00:00,3.0 - 5.0,0,0,no,no,M,M,FA
138,CME-20241001T010900,2024-10-01T01:09:00,2024-10-05T11:00:00,2.0 - 4.0,1,1,no,no,M,M,FA
139,CME-20241001T230900,2024-10-01T23:09:00,2024-10-04T15:08:00,4.5 - 6.7,1.66666667,1,no,no,FA,FA,FA
140,CME-20241002T142400,2024-10-02T14:24:00,2024-10-06T06:33:00,2.0 - 4.0,0,0,no,no,M,M,H
